,episode,timesteps,penalties,score
904,904,70,2,-67
905,905,46,3,-52
906,906,29,1,-17
907,907,98,2,-95
908,908,10,0,11
909,909,12,0,9
910,910,51,2,-48
911,911,15,0,6
912,912,29,1,-17
913,913,14,0,7
914,914,24,1,-12
915,915,34,0,-13
916,916,11,0,10
917,917,15,1,-3
918,918,115,4,-130
919,919,68,2,-65
920,920,44,2,-41
921,921,9,0,12
922,922,58,1,-46
923,923,10,0,11
924,924,53,1,-41
925,925,16,2,-13
926,926,58,3,-64
927,927,15,0,6
928,928,17,0,4
929,929,18,0,3
930,930,24,0,-3
931,931,21,1,-9
932,932,53,3,-59
933,933,12,0,9
934,934,10,0,11
935,935,10,1,2
936,936,6,0,15
937,937,34,0,-13
938,938,60,0,-39
939,939,75,1,-63
940,940,8,0,13
941,941,34,0,-13
942,942,27,2,-24
943,943,68,1,-56
944,944,19,0,2
945,945,18,0,3
946,946,11,1,1
947,947,60,1,-48
948,948,34,1,-22
949,949,26,1,-14
950,950,11,0,10
951,951,22,1,-10
952,952,8,0,13
953,953,17,0,4
954,954,10,0,11
955,955,49,1,-37
956,956,111,5,-135
957,957,31,1,-19
958,958,16,1,-4
959,959,15,1,-3
960,960,23,1,-11
961,961,19,1,-7
962,962,13,1,-1
963,963,32,0,-11
964,964,11,0,10
965,965,51,3,-57
966,966,11,0,10
967,967,15,0,6
968,968,10,0,11
969,969,31,2,-28
970,970,33,1,-21
971,971,60,1,-48
972,972,9,1,3
973,973,19,1,-7
974,974,103,5,-127
975,975,21,3,-27
976,976,32,1,-20
977,977,24,2,-21
978,978,54,0,-33
979,979,11,0,10
980,980,24,2,-21
981,981,16,0,5
982,982,26,1,-14
983,983,15,0,6
984,984,56,1,-44
985,985,56,1,-44
986,986,13,0,8
987,987,15,2,-12
988,988,44,2,-41
989,989,31,0,-10
990,990,45,1,-33
991,991,25,0,-4
992,992,136,6,-169
993,993,25,2,-22
994,994,93,4,-108
995,995,15,1,-3
996,996,16,0,5
997,997,16,1,-4
998,998,13,0,8
999,999,62,3,-68
1000,1000,29,0,-8
1001,1001,65,3,-71
1002,1002,57,1,-45
1003,1003,12,0,9
1004,1004,36,0,-15
1005,1005,69,2,-66
1006,1006,12,2,-9
1007,1007,53,0,-32
1008,1008,53,5,-77
1009,1009,17,0,4
1010,1010,27,0,-6
1011,1011,18,0,3
1012,1012,27,0,-6
1013,1013,12,1,0
1014,1014,34,1,-22
1015,1015,27,0,-6
1016,1016,9,0,12
1017,1017,11,0,10
1018,1018,40,2,-37
1019,1019,71,2,-68
1020,1020,14,0,7
1021,1021,73,5,-97
1022,1022,47,1,-35
1023,1023,15,0,6
1024,1024,16,0,5
1025,1025,67,1,-55
1026,1026,37,0,-16
1027,1027,54,2,-51
1028,1028,43,0,-22
1029,1029,21,1,-9
1030,1030,16,0,5
1031,1031,15,0,6
1032,1032,12,0,9
1033,1033,13,0,8
1034,1034,69,1,-57
1035,1035,13,0,8
1036,1036,49,1,-37
1037,1037,7,0,14
1038,1038,13,0,8
1039,1039,33,0,-12
1040,1040,12,0,9
1041,1041,50,3,-56
1042,1042,25,2,-22
1043,1043,16,1,-4
1044,1044,40,2,-37
1045,1045,16,1,-4
1046,1046,86,2,-83
1047,1047,42,1,-30
1048,1048,13,1,-1
1049,1049,59,1,-47
1050,1050,35,1,-23
1051,1051,24,1,-12
1052,1052,86,2,-83
1053,1053,13,0,8
1054,1054,13,1,-1
1055,1055,58,2,-55
1056,1056,24,2,-21
1057,1057,39,1,-27
1058,1058,30,2,-27
1059,1059,8,0,13
1060,1060,47,2,-44
1061,1061,14,0,7
1062,1062,20,0,1
1063,1063,22,1,-10
1064,1064,11,0,10
1065,1065,95,6,-128
1066,1066,46,3,-52
1067,1067,18,0,3
1068,1068,10,0,11
1069,1069,26,0,-5
1070,1070,76,2,-73
1071,1071,15,1,-3
1072,1072,23,0,-2
1073,1073,27,3,-33
1074,1074,11,0,10
1075,1075,11,1,1
1076,1076,13,0,8
1077,1077,14,0,7
1078,1078,50,1,-38
1079,1079,11,0,10
1080,1080,12,0,9
1081,1081,38,2,-35
1082,1082,86,2,-83
1083,1083,10,0,11
1084,1084,22,0,-1
1085,1085,31,1,-19
1086,1086,25,2,-22
1087,1087,69,1,-57
1088,1088,31,2,-28
1089,1089,25,1,-13
1090,1090,12,0,9
1091,1091,12,1,0
1092,1092,71,7,-113
1093,1093,14,2,-11
1094,1094,15,1,-3
1095,1095,17,0,4
1096,1096,83,3,-89
1097,1097,11,0,10
1098,1098,10,0,11
1099,1099,16,0,5
1100,1100,55,2,-52
1101,1101,7,0,14
1102,1102,36,1,-24
1103,1103,32,0,-11
1104,1104,38,2,-35
1105,1105,29,1,-17
1106,1106,57,2,-54
1107,1107,48,1,-36
1108,1108,29,2,-26
1109,1109,28,0,-7
1110,1110,22,1,-10
1111,1111,56,2,-53
1112,1112,36,1,-24
1113,1113,50,2,-47
1114,1114,42,2,-39
1115,1115,54,6,-87
1116,1116,18,0,3
1117,1117,60,2,-57
1118,1118,16,0,5
1119,1119,14,0,7
1120,1120,10,0,11
1121,1121,28,2,-25
1122,1122,52,2,-49
1123,1123,43,2,-40
1124,1124,30,0,-9
1125,1125,38,0,-17
1126,1126,30,1,-18
1127,1127,24,1,-12
1128,1128,9,0,12
1129,1129,12,0,9
1130,1130,20,0,1
1131,1131,53,2,-50
1132,1132,64,2,-61
1133,1133,18,0,3
1134,1134,29,2,-26
1135,1135,31,1,-19
1136,1136,9,0,12
1137,1137,10,0,11
1138,1138,25,2,-22
1139,1139,39,1,-27
1140,1140,33,0,-12
1141,1141,24,1,-12
1142,1142,19,0,2
1143,1143,32,1,-20
1144,1144,91,3,-97
1145,1145,19,1,-7
1146,1146,21,0,0
1147,1147,67,1,-55
1148,1148,39,1,-27
1149,1149,31,0,-10
1150,1150,65,1,-53
1151,1151,17,1,-5
1152,1152,19,1,-7
1153,1153,32,2,-29
1154,1154,61,3,-67
1155,1155,11,0,10
1156,1156,15,0,6
1157,1157,23,1,-11
1158,1158,53,3,-59
1159,1159,46,0,-25
1160,1160,22,0,-1
1161,1161,28,0,-7
1162,1162,61,1,-49
1163,1163,43,3,-49
1164,1164,25,1,-13
1165,1165,32,1,-20
1166,1166,71,3,-77
1167,1167,18,1,-6
1168,1168,47,1,-35
1169,1169,35,2,-32
1170,1170,55,1,-43
1171,1171,55,2,-52
1172,1172,28,0,-7
1173,1173,12,1,0
1174,1174,9,0,12
1175,1175,28,1,-16
1176,1176,27,1,-15
1177,1177,33,2,-30
1178,1178,7,0,14
1179,1179,48,0,-27
1180,1180,22,2,-19
1181,1181,44,1,-32
1182,1182,37,1,-25
1183,1183,44,0,-23
1184,1184,32,1,-20
1185,1185,30,0,-9
1186,1186,78,2,-75
1187,1187,18,0,3
1188,1188,39,2,-36
1189,1189,32,2,-29
1190,1190,40,0,-19
1191,1191,18,1,-6
1192,1192,35,2,-32
1193,1193,71,1,-59
1194,1194,60,2,-57
1195,1195,21,2,-18
